NAME;BARCODE;TAXGROUP;NAME1;NAME2
"00706 Кубики ""Математика""";4607038270168;Б;07.Дитячі іграшки;ТМ Фенсі
00801 Кубики в малюнках 01(фрукти);4607038270403;Б;07.Дитячі іграшки;ТМ Фенсі
00803 Кубики в малюнках 03 (тварини);4607038270427;Б;07.Дитячі іграшки;ТМ Фенсі
00821 Кубики в малюнках 21 (моделі автомобілів 2);4607038270601;Б;07.Дитячі іграшки;ТМ Фенсі
01012 Мозаїка кругла (діаметр 13мм) прозора;4607038272230;Б;07.Дитячі іграшки;ТМ Фенсі
01020 Мозаїка (13мм/250шт, шестигранна коробка);4607038272964;Б;07.Дитячі іграшки;ТМ Фенсі
"01026 Мозаїка пазли ""Черепашки"" міні 20мм/100шт";4607038273589;Б;07.Дитячі іграшки;ТМ Фенсі
01315 Дзиґа мала прозора;4607038271172;Б;07.Дитячі іграшки;ТМ Фенсі
01317 Дзиґа велика;4607038271424;Б;07.Дитячі іграшки;ТМ Фенсі
01319 Дзиґа мала з кульками;4607038271448;Б;07.Дитячі іграшки;ТМ Фенсі
01320 Дзиґа велика з кульками;4607038271455;Б;07.Дитячі іграшки;ТМ Фенсі
0133-0136 Конструктор;2000040160014;Б;07.Дитячі іграшки;ТМ Фенсі
01504 Брязкальце 4;4607038272278;Б;07.Дитячі іграшки;ТМ Фенсі
01505 Гриб неваляшка;4607038272681;Б;07.Дитячі іграшки;ТМ Фенсі
01506 Куля брязкальце;4607038272728;Б;07.Дитячі іграшки;ТМ Фенсі
01515 Брязкальце Квітка;4607038274739;Б;07.Дитячі іграшки;ТМ Фенсі
01516 Брязкальце підвіска на коляску;4607038274906;Б;07.Дитячі іграшки;ТМ Фенсі
01518 Брязкальце підвіска на ліжечко;4607038274968;Б;07.Дитячі іграшки;ТМ Фенсі
01519 Брязкальце підвіска кульки;4607038274975;Б;07.Дитячі іграшки;ТМ Фенсі
01525 Брязкальце Маракасік;4607038274951;Б;07.Дитячі іграшки;ТМ Фенсі
01534 Брязкальце Кілечко;4607038274883;Б;07.Дитячі іграшки;ТМ Фенсі
01535 Брязкальце Потяг;4607038274890;Б;07.Дитячі іграшки;ТМ Фенсі
"01ГІ(IP6220) Гра, що розмовляє  ""Весела абетка""";4812501020922;Б;07.Дитячі іграшки;ТМ Фенсі
"02017  Конструктор ""Техно""  (Вертоліт, 84 деталі)";4607038273145;Б;07.Дитячі іграшки;ТМ Фенсі
"02018  Конструктор ""Техно""  (Болід, 95 деталей)";4607038273169;Б;07.Дитячі іграшки;ТМ Фенсі
"02020  Конструктор ""Техно""  (Літак, 110 деталей)";4607038273152;Б;07.Дитячі іграшки;ТМ Фенсі
"022 Джип ""Космічний""";4607006440210;Б;07.Дитячі іграшки;ТМ Фенсі
"0293 Конструкт. ""Саморобник""-""Великий"" 96 елементів.";4810344000293;Б;07.Дитячі іграшки;ТМ Фенсі
"030 Вантажівка ""Космічна""";4607006440333;Б;07.Дитячі іграшки;ТМ Фенсі
"0309 Конструкт. ""Саморобник"" - Середній - 72 елементів.";4810344000309;Б;07.Дитячі іграшки;ТМ Фенсі
"033 Кран ""Космічний""";4607006440364;Б;07.Дитячі іграшки;ТМ Фенсі
"034 Екскаватор ""Космічний""";4607006440371;Б;07.Дитячі іграшки;ТМ Фенсі
"036 Сіновоз ""Коник""";4607006440395;Б;07.Дитячі іграшки;ТМ Фенсі
"037 Самоскид ""Бичок""";4607006440401;Б;07.Дитячі іграшки;ТМ Фенсі
"038 Фургон ""Козачок""";4607006440418;Б;07.Дитячі іграшки;ТМ Фенсі
"03ГИ(IP6223) Гра, що розмовляє ""Таємниці всесвіту""";4812501020946;Б;07.Дитячі іграшки;ТМ Фенсі
040702 Конструктор;6931934151558;Б;07.Дитячі іграшки;ТМ Фенсі
040716 Конструктор;6931934151572;Б;07.Дитячі іграшки;ТМ Фенсі
040717 Конструктор;6931934151596;Б;07.Дитячі іграшки;ТМ Фенсі
"048 Екскаватор ""Мураха""";4607006440500;Б;07.Дитячі іграшки;ТМ Фенсі
"0498 Набір №216 серія ""Пісочниця""";4810344030498;Б;07.Дитячі іграшки;ТМ Фенсі
"0514 с.і. ""Пісочниця"" Набір №2";4810344000514;Б;07.Дитячі іграшки;ТМ Фенсі
"0535 Набір №215 серія ""Пісочниця""";4810344030535;Б;07.Дитячі іграшки;ТМ Фенсі
"054 Пікап ""Сахара""";4607006440531;Б;07.Дитячі іграшки;ТМ Фенсі
"0542 Набір №217 серія ""Пісочниця""";4810344030542;Б;07.Дитячі іграшки;ТМ Фенсі
055 Джип Сахара;4607006440548;Б;07.Дитячі іграшки;ТМ Фенсі
"0559 Набір №228 серія ""Пісочниця""";4810344030559;Б;07.Дитячі іграшки;ТМ Фенсі
"0576 Конструктор ""Саморобник""(Будівельник,великий,115ел.)";4810344000576;Б;07.Дитячі іграшки;ТМ Фенсі
"0580 Набір №179 серія ""Пісочниця""";4810344030580;Б;07.Дитячі іграшки;ТМ Фенсі
"0583 Конструктор ""Саморобник""(Будівельник,середній,95ел.)";4810344000583;Б;07.Дитячі іграшки;ТМ Фенсі
"0590 Конструктор ""Саморобник""(Будівельник,мала лійка,66ел.)";4810344000590;Б;07.Дитячі іграшки;ТМ Фенсі
"0597 Набір №180 серія ""Пісочниця""";4810344030597;Б;07.Дитячі іграшки;ТМ Фенсі
"061 Самоскид ""Маля""";4607006440616;Б;07.Дитячі іграшки;ТМ Фенсі
"0610 Набір №182 серія ""Пісочниця""";4810344030610;Б;07.Дитячі іграшки;ТМ Фенсі
"062 Пожежна машина ""Маля""";4607006440623;Б;07.Дитячі іграшки;ТМ Фенсі
"0627 Набір №212 серія ""Пісочниця""";4810344030627;Б;07.Дитячі іграшки;ТМ Фенсі
"0634 Набір №213 серія ""Пісочниця""";4810344030634;Б;07.Дитячі іграшки;ТМ Фенсі
"0637 с.п.і.  ""Спецмашина"", ""Кузя"" (самоскид)";4810344000637;Б;07.Дитячі іграшки;ТМ Фенсі
"064 Кран ""Маля""";4607006440647;Б;07.Дитячі іграшки;ТМ Фенсі
"065 Дорожня машина ""Маля""";4607006440654;Б;07.Дитячі іграшки;ТМ Фенсі
"0658 Набір №224 серія ""Пісочниця""";4810344030658;Б;07.Дитячі іграшки;ТМ Фенсі
"0665 Набір №234 серія ""Пісочниця""";4810344030665;Б;07.Дитячі іграшки;ТМ Фенсі
"0672 Набір №210 серія ""Пісочниця""";4810344030672;Б;07.Дитячі іграшки;ТМ Фенсі
076А Іграшки у вигляді зброї;2000040100010;Б;07.Дитячі іграшки;ТМ Фенсі
"0841 Автомобіль ""Мустанг""";4810344010841;Б;07.Дитячі іграшки;ТМ Фенсі
10 в 1 мікс -Вінні Пух/Дісней/;5900511901313;Б;11.Паззли;ТМ Трефль
10 в 1 мікс -Міккі Маус/Дісней/;5900511901344;Б;11.Паззли;ТМ Трефль
10 в 1 мікс -Принцеси/Дісней/;5900511901320;Б;11.Паззли;ТМ Трефль
10 в 1 мікс -Тачки/Дісней/;5900511901337;Б;11.Паззли;ТМ Трефль
1004 Пожежна машина;4896941810008;Б;07.Дитячі іграшки;ТМ Фенсі
"101/1 Самоскид ""Нордик"" без інд.упаковки";4607006441323;Б;07.Дитячі іграшки;ТМ Фенсі
"102/1 Кран ""Нордик"" без індивідуальної упаковки";4607006441347;Б;02.Новорічна продукція;ТМ Фенсі
"1023 с.і. ""Пісочниця"" Набір №11";4810344001023;Б;07.Дитячі іграшки;ТМ Фенсі
"103/1 Машинка легкова '""Нордик"" без інд.упаковки";4607006441330;Б;07.Дитячі іграшки;ТМ Фенсі
"104/1 Джип відкритий ""Нордик"" без індивідуальної упаковки";4607006441316;Б;07.Дитячі іграшки;ТМ Фенсі
"105/1 Пожежна машинка ""Нордик"" без інд.упаковки";4607006441361;Б;07.Дитячі іграшки;ТМ Фенсі
"106/1 Трактор ""Нордик"" без індивідуальної упаковки";4607006441378;Б;07.Дитячі іграшки;ТМ Фенсі
"10642-00-RUS мото ""MOTORSPORT WORLD""асорті 1:18";4897021680139;Б;07.Дитячі іграшки;ТМ Фенсі
"10682-00-RUS мото ""QUADROBIKE ""SPORT"" 1:24";4897021680412;Б;07.Дитячі іграшки;ТМ Фенсі
"10692-00-RUS маш ""COUNTRY TRACTOR"" 1:43";4897021680429;Б;07.Дитячі іграшки;ТМ Фенсі
10СПК СуперПеретворення Краб;4812501023244;Б;07.Дитячі іграшки;ТМ Фенсі
1129 Ведро среднее с наклейкой;4810344031129;Б;07.Дитячі іграшки;ТМ Фенсі
11СПП СуперПеретворення Паук;4812501032727;Б;07.Дитячі іграшки;ТМ Фенсі
1243 Міні-набір;4891464012434;Б;07.Дитячі іграшки;ТМ Фенсі
